Key,Translation
add,Toevoegen
alerts,Meldingen
analog_input,Analoge Input
analog_inputs,Analoge Inputs
are_you_sure,Ben je zeker?
ato,ATO
cancel,Annuleren
clear,Resetten
configure,Instellen
delete,Verwijderen
disabled,Uitgeschakeld
documentation,Documentatie
done,Gereed
doser,Doseerpomp
driver,Driver
edit,Bewerken
enabled,Ingeschakeld
equipment,Onderdelen
errors,Foutmeldingen
health,Gezondheid
in-use,In gebruik
inlet,Ingang
inlets,Ingangen
jack,Jack
jacks,Jacks
light,Licht
loading,Bezig met laden
name,Naam
none,Niets
ok,Ok
outlet,Uitgang
outlets,Uitgangen
pin,Pin
reverse,Omgekeerd
running,Actief
save,Opslaan
sec,sec
second_s,second(en)
select,Selecteren
since,Sinds
unit,Eenheid
update,Update
ato:alert_after,Alarm Na
ato:ato_status,ATO Status
ato:ato_usage,ATO Gebruik
ato:chk_freq,Controleer Frequentie
ato:chk_freq_number,Controleer Frequentie moet een nummer zijn
ato:chk_freq_number_value,Controleer Frequentie moet 1 seconde or meer zijn
ato:chk_freq_required,Controleer Frequentie is vereist
ato:control_pump,Controleert pomp
ato:controlequipment,Controleert onderdeel
ato:controlmacro, Controleert macro
ato:controlnothing, Controleert niets
ato:disable_on_alert,Uitschakelen bij alarm
ato:inlet_required,Ingang is vereist
ato:name_required,Naam is vereist
ato:status_required,ATO Status is vereist
ato:threshold_required,Limiet is vereist als notificatie is ingeschakeld
ato:threshold_value,Limiet moet een nummer zijn
ato:total_seconds_pump_on,Tijdsduur ATO pomp ingeschakeld in seconden
ato:validation_error,De ATO instellingen kunnen niet opgeslaan worden door validatiefouten. Gelieve deze te corrigeren en opnieuw te proberen.
ato:warn_delete,
capabilities:ato,ATO
capabilities:camera,Camera
capabilities:configuration,Configuratie
capabilities:dashboard,Dashboard
capabilities:dev_mode,Dev Mode
capabilities:doser,Doseerpomp
capabilities:dosing_pumps,Doseerpompen
capabilities:equipment,Uitrusting
capabilities:health_check,Health check
capabilities:lighting,Belichting
capabilities:lights,Lichten
capabilities:log,Log
capabilities:macro,Macro
capabilities:macros,Macros
capabilities:manager,Instances
capabilities:ph,pH
capabilities:temperature,Temperatuur
capabilities:timers,Timers
collapsible:delete,Verwijderen
collapsible:edit,Bewerken
color_picker:choose,Kies
configuration:about:current_time,Huidige tijd
configuration:about:status,Status
configuration:about:uptime,Uptime
configuration:about:version,Versie
configuration:about:website,Website
configuration:admin:poweroff,Uitschakelen
configuration:admin:reboot,Herstarten
configuration:admin:reload,Herladen
configuration:admin:sign_out,Log uit
configuration:authentication:credentials,Aanmeldingsgegevens
configuration:authentication:error_pass,Geef een passwoord in
configuration:authentication:error_user,Geef een gebruikersnaam in
configuration:settings:address,Adres
configuration:settings:alert_health_check,Alarm bij health check
configuration:settings:capabilities,Opties
configuration:settings:capabilities_required,Opties is vereist
configuration:settings:display,Display
configuration:settings:enable_profiling,Profiling inschakelen
